89.51,350,-6.73,-3.56
90.45,352,-6.79,-3.35
91.39,354,-6.85,-3.13
92.31,356,-6.91,-2.93
93.24,358,-6.96,-2.71
94.15,360,-7.02,-2.51
95.08,362,-7.07,-2.29
96,364,-7.11,-2.07
96.93,366,-7.15,-1.86
97.86,368,-7.2,-1.65
98.8,370,-7.23,-1.44
99.75,372,-7.27,-1.25
100.69,374,-7.31,-1.06
101.62,376,-7.34,-0.85
102.58,378,-7.37,-0.63
103.54,380,-7.4,-0.44
104.51,382,-7.43,-0.27
105.47,384,-7.45,-0.08
106.43,386,-7.48,0.08
107.39,388,-7.5,0.24
108.34,390,-7.52,0.41
109.3,392,-7.54,0.56
110.25,394,-7.56,0.71
111.19,396,-7.58,0.84
112.16,398,-7.6,0.97
113.11,400,-7.61,1.1
114.08,402,-7.63,1.2
115.02,404,-7.63,1.3
115.99,406,-7.65,1.4
116.96,408,-7.66,1.51
117.93,410,-7.67,1.6
118.9,412,-7.68,1.71
119.89,414,-7.68,1.8
120.86,416,-7.69,1.91
121.86,418,-7.7,2
122.83,420,-7.71,2.05
123.81,422,-7.71,2.11
124.78,424,-7.72,2.16
125.74,426,-7.73,2.2
126.71,428,-7.72,2.25
127.69,430,-7.73,2.27
128.66,432,-7.74,2.3
129.65,434,-7.75,2.34
130.63,436,-7.75,2.37
131.61,438,-7.76,2.41
132.6,440,-7.77,2.44
133.6,442,-7.78,2.49
134.59,444,-7.77,2.52
135.57,446,-7.78,2.54
136.59,448,-7.78,2.58
137.58,450,-7.79,2.59
138.58,452,-7.79,2.61
139.56,454,-7.79,2.64
140.54,456,-7.79,2.66
141.52,458,-7.8,2.69
142.51,460,-7.8,2.71
143.49,462,-7.81,2.72
144.49,464,-7.81,2.73
145.49,466,-7.81,2.75
146.47,468,-7.82,2.76
147.48,470,-7.82,2.76
148.47,472,-7.81,2.76
149.47,474,-7.82,2.74
150.48,476,-7.82,2.73
151.49,478,-7.83,2.71
152.49,480,-7.83,2.7
153.5,482,-7.83,2.68
154.5,484,-7.84,2.68
155.49,486,-7.84,2.66
156.48,488,-7.84,2.64
157.47,490,-7.85,2.62
158.47,492,-7.85,2.61
159.48,494,-7.86,2.6
160.48,496,-7.86,2.59
161.47,498,-7.86,2.59
162.48,500,-7.86,2.58
163.48,502,-7.87,2.58
164.5,504,-7.88,2.58
165.51,506,-7.87,2.58
166.51,508,-7.88,2.58
167.52,510,-7.88,2.57
168.52,512,-7.89,2.57
169.53,514,-7.89,2.56
170.52,516,-7.9,2.55
171.53,518,-7.9,2.55
172.52,520,-7.89,2.54
173.52,522,-7.9,2.54
174.53,524,-7.91,2.53
175.53,526,-7.91,2.51
176.53,528,-7.91,2.5
177.54,530,-7.92,2.49
178.56,532,-7.93,2.49
179.57,534,-7.93,2.49
180.57,536,-7.94,2.5
181.6,538,-7.95,2.51
182.6,540,-7.95,2.52
183.59,542,-7.96,2.54
184.59,544,-7.97,2.55
185.61,546,-7.97,2.57
186.6,548,-7.98,2.58
187.6,550,-7.98,2.58
188.62,552,-7.99,2.58
189.61,554,-7.99,2.57
190.62,556,-8,2.55
191.64,558,-8.01,2.55
192.64,560,-8.02,2.55
193.66,562,-8.02,2.54
194.67,564,-8.03,2.57
195.67,566,-8.03,2.56
196.68,568,-8.05,2.55
197.68,570,-8.05,2.53
198.68,572,-8.06,2.53
199.67,574,-8.06,2.52
200.67,576,-8.08,2.51
201.68,578,-8.08,2.51
202.68,580,-8.1,2.5
203.67,582,-8.11,2.51
204.69,584,-8.12,2.52
205.7,586,-8.13,2.51
206.71,588,-8.15,2.5
207.72,590,-8.16,2.51
208.71,592,-8.16,2.51
209.73,594,-8.18,2.5
210.73,596,-8.19,2.5
211.74,598,-8.2,2.52
212.72,600,-8.22,2.51
213.72,602,-8.24,2.5
214.72,604,-8.26,2.5
215.73,606,-8.28,2.51
216.73,608,-8.3,2.5
217.73,610,-8.31,2.51
218.74,612,-8.33,2.53
219.73,614,-8.34,2.54
220.75,616,-8.36,2.54
221.75,618,-8.38,2.56
222.75,620,-8.4,2.57
223.75,622,-8.42,2.58
224.74,624,-8.44,2.58
225.75,626,-8.46,2.6
226.74,628,-8.49,2.61
227.75,630,-8.51,2.6
228.73,632,-8.54,2.62
229.73,634,-8.57,2.66
230.73,636,-8.6,2.7
231.73,638,-8.63,2.73
232.73,640,-8.66,2.77
233.72,642,-8.69,2.82
234.73,644,-8.72,2.87
235.74,646,-8.76,2.93
236.74,648,-8.81,2.97
237.74,650,-8.84,3.02
238.73,652,-8.88,3.08
239.72,654,-8.92,3.13
240.71,656,-8.97,3.2
241.71,658,-9.03,3.27
242.7,660,-9.07,3.37
243.69,662,-9.12,3.45
244.7,664,-9.18,3.54
245.7,666,-9.24,3.65
246.68,668,-9.29,3.74
247.69,670,-9.36,3.84
248.68,672,-9.43,3.95
249.69,674,-9.5,4.05
250.68,676,-9.57,4.18
251.68,678,-9.64,4.28
252.66,680,-9.72,4.41
253.66,682,-9.81,4.55
254.64,684,-9.89,4.68
255.63,686,-9.98,4.82
256.63,688,-10.08,4.95
257.63,690,-10.18,5.08
258.62,692,-10.28,5.21
259.6,694,-10.38,5.36
260.6,696,-10.5,5.51
261.61,698,-10.61,5.67
262.6,700,-10.74,5.84
263.6,702,-10.87,5.97
264.58,704,-11.01,6.13
265.59,706,-11.16,6.28
266.58,708,-11.31,6.46
267.56,710,-11.48,6.64
268.57,712,-11.64,6.8
269.56,714,-11.82,6.95
