#Fitness:-0.417381, A: 37456.6, E: 81646, NS: 1.5901, yinf: 0.236859
#Time,Temp,Exp,Model
1919,452.31,0.9658,0.998149
1928,453.16,0.9656,0.998075
1938,454.01,0.9654,0.997989
1947,454.86,0.9653,0.997909
1957,455.67,0.9654,0.997816
1966,456.51,0.9651,0.997729
1976,457.33,0.9652,0.997629
1985,458.17,0.9651,0.997536
1995,459,0.9651,0.997428
2004,459.82,0.9649,0.997328
2014,460.66,0.9647,0.997212
2023,461.51,0.9646,0.997104
2033,462.34,0.9645,0.996979
2042,463.19,0.9644,0.996863
2052,464.01,0.9641,0.996728
2061,464.85,0.964,0.996603
2071,465.69,0.9639,0.996459
2080,466.54,0.9638,0.996324
2090,467.37,0.9636,0.996169
2099,468.22,0.9636,0.996025
2109,469.06,0.9634,0.995858
2118,469.88,0.9633,0.995703
2128,470.71,0.9632,0.995524
2137,471.53,0.9631,0.995358
2147,472.36,0.9629,0.995166
2156,473.2,0.9627,0.994987
2166,474.01,0.9625,0.994782
2175,474.84,0.9625,0.99459
2185,475.66,0.9622,0.99437
2194,476.5,0.9622,0.994164
2204,477.33,0.9621,0.993928
2213,478.17,0.9619,0.993709
2223,479.01,0.9615,0.993456
2232,479.85,0.9614,0.993221
2242,480.68,0.9612,0.992951
2251,481.52,0.961,0.992699
2261,482.36,0.9607,0.99241
2270,483.19,0.9604,0.992141
2280,484.02,0.9601,0.991832
2289,484.85,0.96,0.991544
2299,485.66,0.9599,0.991214
2308,486.48,0.9595,0.990907
2318,487.33,0.9593,0.990555
2327,488.15,0.9591,0.990227
2337,488.99,0.9589,0.989851
2346,489.81,0.9587,0.989502
2356,490.64,0.9583,0.9891
2365,491.48,0.9579,0.988728
2375,492.3,0.9575,0.9883
2384,493.14,0.9572,0.987903
2394,493.98,0.9569,0.987447
2403,494.81,0.9567,0.987024
2413,495.64,0.9563,0.986539
2422,496.48,0.9561,0.986088
2432,497.32,0.9559,0.985572
2441,498.14,0.9555,0.985092
2451,498.96,0.9551,0.984543
2460,499.79,0.9546,0.984033
2470,500.62,0.9542,0.983449
2479,501.45,0.954,0.982908
2489,502.29,0.9535,0.982287
2498,503.11,0.9531,0.981712
2508,503.95,0.9527,0.981053
2517,504.78,0.9523,0.980442
2527,505.61,0.9518,0.979742
2536,506.44,0.9513,0.979094
2546,507.29,0.9508,0.978352
2555,508.12,0.9502,0.977665
2565,508.97,0.9498,0.976878
2574,509.8,0.9494,0.97615
2584,510.63,0.9487,0.975316
2593,511.46,0.9481,0.974545
2603,512.29,0.9475,0.973662
2612,513.13,0.9468,0.972845
2622,513.95,0.9464,0.971911
2631,514.79,0.9456,0.971047
2641,515.61,0.9448,0.970059
2650,516.44,0.9441,0.969145
2660,517.27,0.9433,0.968101
2669,518.1,0.9427,0.967135
2679,518.92,0.942,0.966033
2688,519.75,0.9413,0.965013
2698,520.58,0.9407,0.963849
2707,521.41,0.9397,0.962772
2717,522.23,0.9391,0.961544
2726,523.06,0.9383,0.960409
2736,523.88,0.9373,0.959114
2745,524.7,0.9364,0.957917
2755,525.5,0.9354,0.956553
2764,526.32,0.9345,0.955292
2774,527.13,0.9334,0.953855
2783,527.95,0.9323,0.952529
2793,528.77,0.9314,0.951017
2802,529.57,0.9303,0.949622
2812,530.39,0.9294,0.948032
2821,531.2,0.9284,0.946565
2831,532.02,0.9272,0.944895
2840,532.83,0.926,0.943354
2850,533.66,0.9249,0.9416
2859,534.47,0.9236,0.939983
2869,535.3,0.9226,0.938143
2878,536.12,0.9214,0.936447
2888,536.93,0.9201,0.934518
2897,537.75,0.9187,0.93274
2907,538.57,0.9175,0.930719
2916,539.37,0.9163,0.928858
2926,540.2,0.9148,0.926742
2935,541.01,0.9134,0.924794
2945,541.84,0.9118,0.922581
2954,542.65,0.9103,0.920544
