#Fitness:-0.417381, A: 37456.6, E: 81646, NS: 1.5901, yinf: 0.236859
#Time,Temp,Exp,Model
7818,944.33,0.2263,0.236879
7828,945.1,0.2263,0.236878
7837,945.87,0.2262,0.236878
7847,946.64,0.226,0.236878
7856,947.41,0.226,0.236877
7866,948.18,0.2258,0.236877
7875,948.96,0.2257,0.236877
7885,949.72,0.2256,0.236877
7894,950.48,0.2255,0.236876
7904,951.24,0.2253,0.236876
7913,951.99,0.2254,0.236876
7923,952.73,0.2253,0.236875
7932,953.49,0.2252,0.236875
7942,954.26,0.2251,0.236875
7951,955.02,0.2251,0.236875
7961,955.8,0.225,0.236874
7970,956.58,0.2249,0.236874
7980,957.36,0.2249,0.236874
7989,958.13,0.2246,0.236874
7999,958.92,0.2248,0.236873
8008,959.7,0.2246,0.236873
8018,960.47,0.2244,0.236873
8027,961.25,0.2245,0.236873
8037,962.03,0.2245,0.236872
8046,962.81,0.2244,0.236872
8056,963.58,0.2245,0.236872
8065,964.35,0.2244,0.236872
8075,965.13,0.2243,0.236872
8084,965.9,0.224,0.236871
8094,966.68,0.2239,0.236871
8103,967.45,0.2239,0.236871
8113,968.21,0.2239,0.236871
8122,968.99,0.224,0.236871
8132,969.76,0.2238,0.23687
8141,970.54,0.2238,0.23687
8151,971.31,0.2238,0.23687
8160,972.08,0.2236,0.23687
8170,972.84,0.2233,0.23687
8179,973.61,0.2233,0.23687
8189,974.39,0.2232,0.236869
8198,975.16,0.2233,0.236869
8208,975.93,0.2232,0.236869
8217,976.71,0.2231,0.236869
8227,977.48,0.2231,0.236869
8236,978.25,0.2229,0.236869
8246,979.02,0.2229,0.236868
8255,979.8,0.223,0.236868
8265,980.57,0.2228,0.236868
8274,981.33,0.2226,0.236868
8284,982.1,0.2225,0.236868
8293,982.88,0.2224,0.236868
8303,983.64,0.2223,0.236868
8312,984.4,0.2224,0.236867
8322,985.18,0.2224,0.236867
8331,985.96,0.2223,0.236867
8341,986.73,0.2221,0.236867
8350,987.5,0.222,0.236867
8360,988.27,0.2219,0.236867
8369,989.05,0.222,0.236867
8379,989.82,0.2219,0.236867
8388,990.58,0.2217,0.236866
8398,991.35,0.2216,0.236866
8407,992.13,0.2216,0.236866
8417,992.9,0.2216,0.236866
8426,993.67,0.2215,0.236866
8436,994.41,0.2213,0.236866
8445,995.17,0.2213,0.236866
8455,995.91,0.2212,0.236866
8464,996.65,0.2213,0.236866
8474,997.38,0.2211,0.236866
8483,998.13,0.2211,0.236865
8493,998.88,0.221,0.236865
8502,999.61,0.2211,0.236865
8512,1000.36,0.2209,0.236865
8521,1001.13,0.221,0.236865
8531,1001.89,0.2208,0.236865
8540,1002.66,0.2207,0.236865
8550,1003.45,0.2207,0.236865
8559,1004.23,0.2206,0.236865
8569,1005.01,0.2205,0.236865
8578,1005.78,0.2206,0.236865
8588,1006.56,0.2205,0.236864
8597,1007.32,0.2204,0.236864
8607,1008.09,0.2204,0.236864
8616,1008.86,0.2203,0.236864
8626,1009.62,0.2202,0.236864
8635,1010.38,0.2202,0.236864
8645,1011.16,0.22,0.236864
8654,1011.95,0.2199,0.236864
8664,1012.75,0.2198,0.236864
8673,1013.57,0.2199,0.236864
8683,1014.38,0.2199,0.236864
8692,1015.19,0.2199,0.236864
8702,1015.99,0.2198,0.236864
8711,1016.8,0.2199,0.236864
8721,1017.6,0.2197,0.236863
8730,1018.4,0.2196,0.236863
8740,1019.2,0.2196,0.236863
8749,1019.99,0.2193,0.236863
8759,1020.78,0.2193,0.236863
8768,1021.56,0.2192,0.236863
8778,1022.34,0.2192,0.236863
8787,1023.12,0.2191,0.236863
8797,1023.89,0.2193,0.236863
8806,1024.67,0.2192,0.236863
8816,1025.44,0.2191,0.236863
8825,1026.21,0.219,0.236863
8835,1026.99,0.219,0.236863
8844,1027.75,0.2189,0.236863
8854,1028.52,0.219,0.236863
8863,1029.29,0.2189,0.236863
8873,1030.06,0.2187,0.236863
8882,1030.84,0.2187,0.236863
8892,1031.61,0.2186,0.236862
8901,1032.37,0.2185,0.236862
8911,1033.14,0.2184,0.236862
8920,1033.91,0.2182,0.236862
8930,1034.68,0.2182,0.236862
8939,1035.46,0.2182,0.236862
8949,1036.23,0.2181,0.236862
8958,1037.01,0.2182,0.236862
8968,1037.77,0.2182,0.236862
8977,1038.55,0.2181,0.236862
8987,1039.32,0.2181,0.236862
8996,1040.1,0.2179,0.236862
9006,1040.87,0.2178,0.236862
9015,1041.65,0.2179,0.236862
9025,1042.42,0.218,0.236862
9034,1043.19,0.2179,0.236862
9044,1043.97,0.2179,0.236862
9053,1044.75,0.2179,0.236862
9063,1045.52,0.2177,0.236862
9072,1046.31,0.2176,0.236862
9082,1047.09,0.2176,0.236862
9091,1047.87,0.2175,0.236862
9101,1048.66,0.2174,0.236862
9110,1049.44,0.2173,0.236862
9120,1050.21,0.2172,0.236862
9129,1051,0.2172,0.236862
9139,1051.79,0.2172,0.236862
9148,1052.57,0.2172,0.236861
9158,1053.35,0.2172,0.236861
9167,1054.1,0.2171,0.236861
9177,1054.86,0.2171,0.236861
9186,1055.62,0.2169,0.236861
9196,1056.36,0.2169,0.236861
9205,1057.12,0.2169,0.236861
9215,1057.88,0.2168,0.236861
9224,1058.64,0.2167,0.236861
9234,1059.41,0.2167,0.236861
9243,1060.2,0.2167,0.236861
9253,1060.98,0.2167,0.236861
9262,1061.77,0.2167,0.236861
9272,1062.56,0.2166,0.236861
9281,1063.35,0.2166,0.236861
9291,1064.13,0.2167,0.236861
9300,1064.92,0.2166,0.236861
9310,1065.7,0.2166,0.236861
9319,1066.49,0.2165,0.236861
9329,1067.26,0.2164,0.236861
